,false_negative_num,false_negative_refs,true_positive_num,true_positive_refs,false_positive_num,false_positive_refs
purim,0,[],2,"['https://www.sefaria.org.il/Shulchan_Arukh,_Orach_Chayim.696.8', 'https://www.sefaria.org.il/Abudarham,_Fasts,_Prayers.35']",1,"['https://www.sefaria.org.il/Introductions_to_Amoraic_Literature,_Part_I_(Introductions_to_Tractates_of_the_Babli),_Nazir.110']"
passover,3,"['https://www.sefaria.org.il/Leviticus.23.15-16', 'https://www.sefaria.org.il/Sotah.37a.3', 'https://www.sefaria.org.il/Pesach_Haggadah,_Nirtzah,_Chad_Gadya.3']",5,"['https://www.sefaria.org.il/Deuteronomy.6.20-21', 'https://www.sefaria.org.il/Mishneh_Torah,_Paschal_Offering.4.11', 'https://www.sefaria.org.il/Pesachim.39a.1-15', 'https://www.sefaria.org.il/Exodus.6.6-7', 'https://www.sefaria.org.il/Sefat_Emet,_Leviticus,_Passover.20.3']",4,"['https://www.sefaria.org.il/Pardes_Rimonim.13.1.38', 'https://www.sefaria.org.il/Shem_MiShmuel,_Shemot.7.10', 'https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184']"
shavuot,0,[],2,"['https://www.sefaria.org.il/Leviticus.23.15-16', 'https://www.sefaria.org.il/Mishnah_Menachot.2.3']",3,"['https://www.sefaria.org.il/Book_of_Jubilees.2.33', 'https://www.sefaria.org.il/Mishnah_Megillah.4.2', 'https://www.sefaria.org.il/Sefat_Emet,_Numbers,_Chukat.16.2']"
tisha-bav,0,[],2,"['https://www.sefaria.org.il/Taanit.29a.1-17', 'https://www.sefaria.org.il/Abudarham,_Fasts,_Prayers.35']",0,[]
elul,0,[],0,[],1,"['https://www.sefaria.org.il/Mishneh_Torah,_Repentance.3.4']"
fasting,0,[],2,"['https://www.sefaria.org.il/Jerusalem_Talmud_Taanit.2.1.8-13', 'https://www.sefaria.org.il/Abudarham,_Fasts,_Prayers.35']",3,"['https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/The_Antiquities_of_the_Jews.10.10.2', 'https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42']"
festivals,3,"['https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Sukkah.41a.6-8', 'https://www.sefaria.org.il/Jerusalem_Talmud_Shabbat.7.2.20']",3,"['https://www.sefaria.org.il/Shir_HaShirim_Rabbah.1.6.5', 'https://www.sefaria.org.il/Mishnah_Megillah.4.2', 'https://www.sefaria.org.il/Pesachim.109a.5']",4,"['https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', ""https://www.sefaria.org.il/Sha'ar_HaPesukim,_Parashat_Balak.56"", 'https://www.sefaria.org.il/Book_of_Jubilees.2.33', 'https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42']"
four-questions,0,[],0,[],2,"['https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_3_The_Holy_Land.13.8', 'https://www.sefaria.org.il/Sefat_Emet,_Leviticus,_Passover.20.3']"
high-holidays,3,"[""https://www.sefaria.org.il/Al_Kapot_HaMan'ul;_Homilies_for_the_Days_of_Awe,_A_Reflection_into_the_Future.17"", 'https://www.sefaria.org.il/Isaiah.58.1-2', 'https://www.sefaria.org.il/Jerusalem_Talmud_Taanit.2.1.8-13']",1,"['https://www.sefaria.org.il/Mishneh_Torah,_Repentance.3.4']",1,"['https://www.sefaria.org.il/Introductions_to_Amoraic_Literature,_Part_I_(Introductions_to_Tractates_of_the_Babli),_Nazir.110']"
lag-baomer,0,[],0,[],0,[]
new-year,0,[],1,"['https://www.sefaria.org.il/Mishneh_Torah,_Repentance.3.4']",0,[]
rabbinic-holidays1,0,[],1,"['https://www.sefaria.org.il/Shulchan_Arukh,_Orach_Chayim.696.8']",4,"['https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Shir_HaShirim_Rabbah.1.6.5', 'https://www.sefaria.org.il/Introductions_to_Amoraic_Literature,_Part_I_(Introductions_to_Tractates_of_the_Babli),_Nazir.110', 'https://www.sefaria.org.il/Abudarham,_Fasts,_Prayers.35']"
seder,1,['https://www.sefaria.org.il/Pesachim.39a.1-15'],1,"['https://www.sefaria.org.il/Sefat_Emet,_Leviticus,_Passover.20.3']",3,"['https://www.sefaria.org.il/Deuteronomy.6.20-21', 'https://www.sefaria.org.il/Mishneh_Torah,_Paschal_Offering.4.11', 'https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42']"
sefirat-haomer,0,[],2,"['https://www.sefaria.org.il/Leviticus.23.15-16', 'https://www.sefaria.org.il/Sukkah.41a.6-8']",0,[]
shabbat-hagadol,0,[],0,[],0,[]
sigd,0,[],0,[],0,[]
tenth-of-tevet,0,[],1,"['https://www.sefaria.org.il/Abudarham,_Fasts,_Prayers.35']",0,[]
the-four-children,0,[],1,['https://www.sefaria.org.il/Deuteronomy.6.20-21'],2,"['https://www.sefaria.org.il/Deuteronomy.4.10', 'https://www.sefaria.org.il/Sefat_Emet,_Leviticus,_Passover.20.3']"
the-four-expressions-of-redemption,0,[],2,"['https://www.sefaria.org.il/Deuteronomy.6.20-21', 'https://www.sefaria.org.il/Exodus.6.6-7']",5,"['https://www.sefaria.org.il/II_Samuel.22.1', 'https://www.sefaria.org.il/Pardes_Rimonim.13.1.38', 'https://www.sefaria.org.il/Ramban_on_Exodus.13.21.1', 'https://www.sefaria.org.il/Shir_HaShirim_Rabbah.5.2.1', 'https://www.sefaria.org.il/Or_HaChaim_on_Leviticus.25.39.1-3']"
the-ten-days-of-repentance,0,[],2,"['https://www.sefaria.org.il/Ahavat_David.14.55', 'https://www.sefaria.org.il/Mishneh_Torah,_Repentance.3.4']",5,"['https://www.sefaria.org.il/Berakhot.62b.14-16', 'https://www.sefaria.org.il/Yalkut_Shimoni_on_Nach.870.6', 'https://www.sefaria.org.il/Pesikta_DeRav_Kahanna.25.3', 'https://www.sefaria.org.il/Isaiah.58.1-2', 'https://www.sefaria.org.il/Jerusalem_Talmud_Taanit.2.1.8-13']"
tu-bav,0,[],0,[],0,[]
tzom-gedaliah,1,"['https://www.sefaria.org.il/Abudarham,_Fasts,_Prayers.35']",0,[],0,[]
yom-haatzmaut,0,[],0,[],0,[]
yom-yerushalayim,0,[],0,[],1,['https://www.sefaria.org.il/Berakhot.30a.8-9']
torah-portions,28,"['https://www.sefaria.org.il/Deuteronomy.4.10', 'https://www.sefaria.org.il/Leviticus.23.15-16', 'https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Shemot_Rabbah.28.2', 'https://www.sefaria.org.il/Shem_MiShmuel,_Shemot.7.10', 'https://www.sefaria.org.il/Vayikra_Rabbah.30.5', 'https://www.sefaria.org.il/Rashi_on_Deuteronomy.22.5.1-3', 'https://www.sefaria.org.il/Taanit.29a.1-17', 'https://www.sefaria.org.il/Sforno_on_Genesis.35.10.1', 'https://www.sefaria.org.il/Maaseh_Rokeach_on_Mishnah,_Seder_Nezikin,_Bava_Metzia.12', 'https://www.sefaria.org.il/Berakhot.60a.28-29', 'https://www.sefaria.org.il/Leviticus.20.23', 'https://www.sefaria.org.il/Numbers.11.18-20', 'https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Vayishlach.6.2', 'https://www.sefaria.org.il/Genesis.20.15-18', 'https://www.sefaria.org.il/Sifrei_Devarim.13.6', 'https://www.sefaria.org.il/Ibn_Ezra_on_Numbers.5.31.1', 'https://www.sefaria.org.il/Leviticus.10.8-10', 'https://www.sefaria.org.il/Deuteronomy.3.15', ""https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Beha'alotcha.4.1"", 'https://www.sefaria.org.il/On_Dreams,_Book_II.16.1', 'https://www.sefaria.org.il/Deuteronomy.18.14-15', 'https://www.sefaria.org.il/Ramban_on_Leviticus.1.9.1', 'https://www.sefaria.org.il/Genesis.42.19', 'https://www.sefaria.org.il/Malbim_on_Exodus.4.1.2', 'https://www.sefaria.org.il/Sefat_Emet,_Numbers,_Chukat.16.2', 'https://www.sefaria.org.il/Leviticus.19.17', 'https://www.sefaria.org.il/Shenei_Luchot_HaBerit,_Torah_Shebikhtav,_Vayeshev,_Miketz,_Vayigash,_Torah_Ohr.24']",12,"[""https://www.sefaria.org.il/Zohar,_Ha'Azinu.5.20"", 'https://www.sefaria.org.il/Deuteronomy.6.20-21', 'https://www.sefaria.org.il/Pardes_Rimonim.13.1.38', 'https://www.sefaria.org.il/Midrash_Tanchuma,_Noach.18.7', 'https://www.sefaria.org.il/Sotah.27b.11-12', 'https://www.sefaria.org.il/Rashi_on_Genesis.25.27.1-28.1', ""https://www.sefaria.org.il/Midrash_Tanchuma,_Re'eh.14.1"", 'https://www.sefaria.org.il/Sotah.37a.3', 'https://www.sefaria.org.il/Radak_on_Genesis.27.19.1', 'https://www.sefaria.org.il/Deuteronomy.8.7-10', 'https://www.sefaria.org.il/Genesis.22.1-2', 'https://www.sefaria.org.il/Exodus.6.6-7']",12,"['https://www.sefaria.org.il/Mishnah_Terumot.5.9', 'https://www.sefaria.org.il/Chagigah.12b.9', 'https://www.sefaria.org.il/Book_of_Jubilees.2.33', 'https://www.sefaria.org.il/Introductions_to_Amoraic_Literature,_Part_I_(Introductions_to_Tractates_of_the_Babli),_Nazir.110', 'https://www.sefaria.org.il/Shenei_Luchot_HaBerit,_Torah_Shebikhtav,_Matot,_Masei,_Devarim,_Ner_Mitzvah.10', 'https://www.sefaria.org.il/Mishnah_Kelim.1.4', 'https://www.sefaria.org.il/Mishnah_Megillah.4.2', 'https://www.sefaria.org.il/Tamid.27b.7', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.8', 'https://www.sefaria.org.il/Ketubot.111a.19', 'https://www.sefaria.org.il/Bava_Metzia.59a.4']"
parashat-bereshit,0,[],0,[],2,"['https://www.sefaria.org.il/Midrash_Tanchuma,_Noach.18.7', 'https://www.sefaria.org.il/Ketubot.111a.19']"
parashat-noach,2,"['https://www.sefaria.org.il/Midrash_Tanchuma,_Noach.18.7', 'https://www.sefaria.org.il/Maaseh_Rokeach_on_Mishnah,_Seder_Nezikin,_Bava_Metzia.12']",0,[],0,[]
parashat-lech-lecha,0,[],0,[],0,[]
parashat-vayera,1,['https://www.sefaria.org.il/Genesis.20.15-18'],1,['https://www.sefaria.org.il/Genesis.22.1-2'],0,[]
parashat-chayei-sarah,0,[],0,[],0,[]
parashat-toldot,0,[],2,"['https://www.sefaria.org.il/Rashi_on_Genesis.25.27.1-28.1', 'https://www.sefaria.org.il/Radak_on_Genesis.27.19.1']",0,[]
parashat-vayetzei,0,[],0,[],0,[]
parashat-vayishlach,2,"['https://www.sefaria.org.il/Sforno_on_Genesis.35.10.1', 'https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Vayishlach.6.2']",0,[],0,[]
parashat-vayeshev,1,"['https://www.sefaria.org.il/On_Dreams,_Book_II.16.1']",0,[],0,[]
parashat-miketz,1,['https://www.sefaria.org.il/Genesis.42.19'],0,[],0,[]
parashat-vayigash,1,"['https://www.sefaria.org.il/Shenei_Luchot_HaBerit,_Torah_Shebikhtav,_Vayeshev,_Miketz,_Vayigash,_Torah_Ohr.24']",0,[],0,[]
parashat-vayechi,0,[],0,[],0,[]
parashat-shemot,1,['https://www.sefaria.org.il/Malbim_on_Exodus.4.1.2'],1,['https://www.sefaria.org.il/Deuteronomy.6.20-21'],3,"['https://www.sefaria.org.il/Pardes_Rimonim.13.1.38', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/Exodus.6.6-7']"
parashat-vaera,1,['https://www.sefaria.org.il/Exodus.6.6-7'],0,[],1,['https://www.sefaria.org.il/Pardes_Rimonim.13.1.38']
parashat-bo,1,"['https://www.sefaria.org.il/Shem_MiShmuel,_Shemot.7.10']",0,[],0,[]
parashat-beshalach,1,"['https://www.sefaria.org.il/Sefat_Emet,_Numbers,_Chukat.16.2']",2,"['https://www.sefaria.org.il/Sotah.27b.11-12', 'https://www.sefaria.org.il/Sotah.37a.3']",1,['https://www.sefaria.org.il/Pardes_Rimonim.13.1.38']
parashat-yitro,1,['https://www.sefaria.org.il/Shemot_Rabbah.28.2'],0,[],1,['https://www.sefaria.org.il/Pardes_Rimonim.13.1.38']
parashat-mishpatim,1,['https://www.sefaria.org.il/Berakhot.60a.28-29'],0,[],1,['https://www.sefaria.org.il/Bava_Metzia.59a.4']
parashat-terumah,0,[],0,[],2,"['https://www.sefaria.org.il/Mishnah_Terumot.5.9', ""https://www.sefaria.org.il/Midrash_Tanchuma,_Re'eh.14.1""]"
parashat-tetzaveh,0,[],0,[],1,['https://www.sefaria.org.il/Tamid.27b.7']
parashat-ki-tisa,0,[],0,[],0,[]
parashat-vayakhel,0,[],0,[],0,[]
parashat-pekudei,0,[],0,[],0,[]
parashat-vayikra,1,['https://www.sefaria.org.il/Ramban_on_Leviticus.1.9.1'],0,[],0,[]
parashat-tzav,0,[],0,[],0,[]
parashat-shemini,1,['https://www.sefaria.org.il/Leviticus.10.8-10'],0,[],0,[]
parashat-tazria,0,[],0,[],1,['https://www.sefaria.org.il/Mishnah_Kelim.1.4']
parashat-metzora,0,[],0,[],1,['https://www.sefaria.org.il/Mishnah_Kelim.1.4']
parashat-achrei-mot,0,[],0,[],0,[]
parashat-kedoshim,2,"['https://www.sefaria.org.il/Leviticus.20.23', 'https://www.sefaria.org.il/Leviticus.19.17']",0,[],0,[]
parashat-emor,2,"['https://www.sefaria.org.il/Leviticus.23.15-16', 'https://www.sefaria.org.il/Vayikra_Rabbah.30.5']",0,[],0,[]
parashat-behar,0,[],0,[],1,['https://www.sefaria.org.il/Book_of_Jubilees.2.33']
parashat-bechukotai,1,['https://www.sefaria.org.il/Exodus.6.6-7'],0,[],0,[]
parashat-bamidbar,0,[],0,[],0,[]
parashat-naso,1,['https://www.sefaria.org.il/Ibn_Ezra_on_Numbers.5.31.1'],0,[],0,[]
parashat-behaalotcha,2,"['https://www.sefaria.org.il/Numbers.11.18-20', ""https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Beha'alotcha.4.1""]",0,[],0,[]
parashat-shelach,1,['https://www.sefaria.org.il/Taanit.29a.1-17'],0,[],0,[]
parashat-korach,0,[],0,[],0,[]
parashat-chukat,1,"['https://www.sefaria.org.il/Sefat_Emet,_Numbers,_Chukat.16.2']",0,[],0,[]
parashat-balak,0,[],0,[],0,[]
parashat-pinchas,1,"['https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32']",0,[],0,[]
parashat-matot,0,[],0,[],2,"['https://www.sefaria.org.il/Deuteronomy.6.20-21', 'https://www.sefaria.org.il/Pardes_Rimonim.13.1.38']"
parashat-masei,0,[],0,[],0,[]
parashat-devarim,2,"['https://www.sefaria.org.il/Sifrei_Devarim.13.6', 'https://www.sefaria.org.il/Deuteronomy.3.15']",0,[],0,[]
parashat-vaetchanan,3,"['https://www.sefaria.org.il/Deuteronomy.4.10', 'https://www.sefaria.org.il/Deuteronomy.6.20-21', 'https://www.sefaria.org.il/Pardes_Rimonim.13.1.38']",0,[],0,[]
parashat-eikev,1,['https://www.sefaria.org.il/Deuteronomy.8.7-10'],0,[],0,[]
parashat-reeh,1,"[""https://www.sefaria.org.il/Midrash_Tanchuma,_Re'eh.14.1""]",0,[],0,[]
parashat-shoftim,1,['https://www.sefaria.org.il/Deuteronomy.18.14-15'],0,[],1,"['https://www.sefaria.org.il/Shenei_Luchot_HaBerit,_Torah_Shebikhtav,_Matot,_Masei,_Devarim,_Ner_Mitzvah.10']"
parashat-ki-teitzei,1,['https://www.sefaria.org.il/Rashi_on_Deuteronomy.22.5.1-3'],0,[],0,[]
parashat-ki-tavo,0,[],0,[],1,['https://www.sefaria.org.il/Deuteronomy.8.7-10']
parashat-nitzavim,0,[],0,[],0,[]
parashat-vayeilech,0,[],0,[],0,[]
parashat-haazinu,0,[],1,"[""https://www.sefaria.org.il/Zohar,_Ha'Azinu.5.20""]",1,['https://www.sefaria.org.il/Sotah.27b.11-12']
parashat-vzot-haberachah,0,[],0,[],0,[]
prayer,1,"['https://www.sefaria.org.il/Sefer_HaTashbetz,_Part_IV.1.42.8']",31,"['https://www.sefaria.org.il/Deuteronomy.6.20-21', 'https://www.sefaria.org.il/II_Samuel.22.1', 'https://www.sefaria.org.il/Selichot_Nusach_Lita_Linear,_Third_Day.2.131', 'https://www.sefaria.org.il/Berakhot.9a.4', 'https://www.sefaria.org.il/Duties_of_the_Heart,_Fourth_Treatise_on_Trust.3.11', 'https://www.sefaria.org.il/Vayikra_Rabbah.30.5', 'https://www.sefaria.org.il/Pesachim.117a.13-14', 'https://www.sefaria.org.il/Sotah.27b.11-12', 'https://www.sefaria.org.il/Machzor_Rosh_Hashanah_Ashkenaz_Linear,_The_Morning_Prayers,_Yehi_Kevod.127', 'https://www.sefaria.org.il/Berakhot.60a.28-29', 'https://www.sefaria.org.il/Berakhot.28b.1-11', 'https://www.sefaria.org.il/Devarim_Rabbah.3.1', ""https://www.sefaria.org.il/Otzar_Midrashim,_Midrash_on_Hallel_'Sefer_HaMa'asim'.1.7"", 'https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Vayishlach.6.2', 'https://www.sefaria.org.il/Genesis.20.15-18', 'https://www.sefaria.org.il/Mishnah_Megillah.4.2', 'https://www.sefaria.org.il/Berakhot.30a.8-9', 'https://www.sefaria.org.il/Siddur_Ashkenaz,_Weekday,_Shacharit,_Amidah,_Knowledge.1', 'https://www.sefaria.org.il/Shir_HaShirim_Rabbah.5.2.1', 'https://www.sefaria.org.il/Midrash_Tehillim.104.1', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/Deuteronomy.8.7-10', 'https://www.sefaria.org.il/Tosefta_Berakhot_(Lieberman).6.10', 'https://www.sefaria.org.il/Abudarham,_Shabbat_Prayers,_The_Conclusion_of_Shabbat.18', 'https://www.sefaria.org.il/Isaiah.58.1-2', 'https://www.sefaria.org.il/Mishneh_Torah,_Repentance.3.4', ""https://www.sefaria.org.il/Sha'ar_HaMitzvot,_Vayechi.18"", 'https://www.sefaria.org.il/Sefat_Emet,_Numbers,_Chukat.16.2', 'https://www.sefaria.org.il/Jerusalem_Talmud_Taanit.2.1.8-13', 'https://www.sefaria.org.il/Machzor_Yom_Kippur_Ashkenaz_Linear,_Neilah;_Concluding_Service,_Sanctification_of_the_Day.230', 'https://www.sefaria.org.il/Sefat_Emet,_Leviticus,_Passover.20.3']",23,"['https://www.sefaria.org.il/Deuteronomy.4.10', 'https://www.sefaria.org.il/Leviticus.23.15-16', ""https://www.sefaria.org.il/Zohar,_Ha'Azinu.5.20"", 'https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Shir_HaShirim_Rabbah.1.6.5', 'https://www.sefaria.org.il/Book_of_Jubilees.2.33', 'https://www.sefaria.org.il/Pardes_Rimonim.13.1.38', 'https://www.sefaria.org.il/Ramban_on_Exodus.13.21.1', 'https://www.sefaria.org.il/Sanhedrin.94b.12', 'https://www.sefaria.org.il/Leviticus.20.23', 'https://www.sefaria.org.il/Numbers.11.18-20', 'https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42', 'https://www.sefaria.org.il/Genesis.22.1-2', 'https://www.sefaria.org.il/Pesikta_DeRav_Kahanna.25.3', 'https://www.sefaria.org.il/Deuteronomy.18.14-15', 'https://www.sefaria.org.il/Rashi_on_II_Samuel.5.24.1-2', 'https://www.sefaria.org.il/Ahavat_David.14.55', 'https://www.sefaria.org.il/Mesilat_Yesharim.18.9', ""https://www.sefaria.org.il/Mishpetei_Uziel,_Volume_VI,_Yoreh_De'ah.73.63"", 'https://www.sefaria.org.il/Exodus.6.6-7', 'https://www.sefaria.org.il/Shenei_Luchot_HaBerit,_Torah_Shebikhtav,_Vayeshev,_Miketz,_Vayigash,_Torah_Ohr.24', 'https://www.sefaria.org.il/Shem_MiShmuel,_Chayei_Sara.5.15', 'https://www.sefaria.org.il/II_Kings.4.37']"
